name,price,brand,sku,Subcategoria
Holopai 13 (Antibiótico-Antiinfeccioso),12.33,Equisalud,LP-0010857,Fitoterapia
Uña de Gato,3.77,Sotya,LP-0010431,Fitoterapia
Ginkgo Biloba,19.99,Hivital,LP-0141945,Fitoterapia
Boldo,10.99,Naturitas Essentials,LP-0163409,Fitoterapia
Aceite Esencial de Lavanda Bio,10.9,Pranarom,LP-0024011,Fitoterapia
Menosan Salvia,18.48,A.Vogel,LP-0011070,Fitoterapia
Coligas fast,16.06,Aboca,LP-0034743,Fitoterapia
Hierbabuena Menta Común,0.96,Plameca,LP-0026464,Fitoterapia
Hierba Poleo+Menta,0.92,Plameca,LP-0040436,Fitoterapia
Extracto de espino blanco Fórmula XXI,8.64,Soria Natural,LP-0016141,Fitoterapia
Extracto Natural de Alcachofa (Fórmula XXI),8.99,Soria Natural,LP-0003105,Fitoterapia
Hierba Erisimo Triturado,1.52,Plameca,LP-0038685,Fitoterapia
Salvia,2.89,Sotya,LP-0044895,Fitoterapia
Bacopa organic,13.16,Himalaya Herbals,LP-0148742,Fitoterapia
Diente de león,12.5,Naturitas Essentials,LP-0163591,Fitoterapia
Total Cleanse Liver,30.85,Solaray,LP-0011120,Fitoterapia
Cistitus,27.15,Cistitus,LP-0041008,Fitoterapia
Berberina aristata,37.5,Cfn,LP-0168178,Fitoterapia
Ginko biloba,4.6,GHF,LP-0167552,Fitoterapia
ProZafran extracto de azafrán,16.81,Vermont Health,LP-0037763,Fitoterapia
Rumex 3 (Hepático),5.33,Rumex,LP-0011099,Fitoterapia
Stevia Hoja,0.95,Plameca,LP-0038981,Fitoterapia
Hierba Bardana Raíz Trit.,1.34,Plameca,LP-0005976,Fitoterapia
Ginseng coreano,19.15,Naturitas Essentials,LP-0163392,Fitoterapia
Hepastol (Rábano negro en ampollas),11.57,Plantis,LP-0037879,Fitoterapia
Ashwagandha,7.08,Sotya,LP-0166873,Fitoterapia
Cardo Mariano,9.78,El Granero Integral,LP-0010918,Fitoterapia
Boldo,2.75,Sotya,LP-0006941,Fitoterapia
Aceite Esencial de Eucalipto,3.99,Arganour,LP-0055420,Fitoterapia
Ergycalm relajante físico y mental,17.87,Nutergia,LP-0029966,Fitoterapia
Detox,49.94,Hifas da Terra,LP-0193900,Fitoterapia
Pack Cysticlean PAC+ D-manosa,69.8,Cysticlean,LP-0209077,Fitoterapia
Aceite esencial de clavo,5.89,Pranarom,LP-0009662,Fitoterapia
Candiclean,15.17,Soria Natural,LP-0040735,Fitoterapia
Ajenjo Holofit,13.8,Equisalud,LP-0002999,Fitoterapia
Hierba Eucalipto Hoja Triturada,0.8,Plameca,LP-0016328,Fitoterapia
Ginseng Rojo Coreano,5.5,Sotya,LP-0018826,Fitoterapia
Ashwagandha,29,Mednat,LP-0205948,Fitoterapia
Echinaforce Forte,16.59,A.Vogel,LP-0015799,Fitoterapia
Cola de caballo fuerte 350mg,4.05,El Granero Integral,LP-0009779,Fitoterapia
Oil of Oregano,17.15,Solaray,LP-0038787,Fitoterapia
Té Verde,2.52,Sotya,LP-0010433,Fitoterapia
Rábano Negro y Alcachofa,15.75,Intersa,LP-0003053,Fitoterapia
Herbensurina,11.99,Deiters,LP-0010989,Fitoterapia
Hierba Caléndula Pétalos,1.03,Plameca,LP-0007389,Fitoterapia
Aceite esencial de menta piperita Bio,15.55,Naturitas Essentials,LP-0214642,Fitoterapia
Solución - Defensas naturales,9.38,Pranarom,LP-0122754,Fitoterapia
Extracto de Semillas de Pomelo,9.34,Eladiet,LP-0037776,Fitoterapia
Extracto de Melisa (Fórmula XXI),11.52,Soria Natural,LP-0026419,Fitoterapia
Ajo Macerado,8.5,Sotya,LP-0010444,Fitoterapia
Anis Estrellado,3.07,Maese Herbario,LP-0003877,Fitoterapia
Linaval,27.65,Ele2Pharma,LP-0033549,Fitoterapia
Composor 05 Valeriana Sedaner Complex Formula XXI,15.3,Soria Natural,LP-0048922,Fitoterapia
Hierba de Menta Piperita Triturada,1.01,Plameca,LP-0026467,Fitoterapia
Ashwagandha 6000 mg,26.82,Lamberts,LP-0121581,Fitoterapia
Aceite esencial de árbol de té Bio,14.99,Naturitas Essentials,LP-0214646,Fitoterapia
Boldo Hojas Trituradas,2.42,Plameca,LP-0006965,Fitoterapia
Hierba Tila Flor Triturada,5.53,Plameca,LP-0047464,Fitoterapia
Aceite esencial de limón bio,6.15,Naturitas Essentials,LP-0214621,Fitoterapia
Aceite esencial de lavanda Bio,14.95,Naturitas Essentials,LP-0214641,Fitoterapia
Aceite esencial de orégano vulgar Bio,8.55,Naturitas Essentials,LP-0214632,Fitoterapia
Moringa Bio,13.65,El Granero Integral,LP-0027442,Fitoterapia
Rumex 2 (Digestivo),5.19,Rumex,LP-0011100,Fitoterapia
Berberina liposomal,38.5,Mednat,LP-0121588,Fitoterapia
Ergyfem ciclo menstrual,17.87,Nutergia,LP-0010582,Fitoterapia
Ergycare antioxidante,17.87,Nutergia,LP-0033641,Fitoterapia
Maca + Zn + Se,4.13,Sotya,LP-0037443,Fitoterapia
Cápsulas de Aceite Vegetal de Comino Negro,19.05,Pranarom,LP-0161507,Fitoterapia
"Boswellia de espectro completo, 800 mg de doble potencia",6.56,Swanson,LP-0126644,Fitoterapia
Curcumina Fitosomada,57.2,Nutri Holistic,LP-0014349,Fitoterapia
"Ashwagandha, Rhodiola y Grifonia 5 HTP",24.26,Vecos,LP-0166928,Fitoterapia
Aceite esencial de menta,7.99,Pranarom,LP-0026455,Fitoterapia
Maca Negra,20.35,El Oro de los Andes,LP-0038836,Fitoterapia
Cardo mariano,27.7,Lamberts,LP-0007814,Fitoterapia
Digest Gases,6.7,Eladiet,LP-0030776,Fitoterapia
Super berberine 500 mg,32.39,Solaray,LP-0205170,Fitoterapia
Aceite esencial de naranja dulce Bio,4.7,Naturitas Essentials,LP-0214631,Fitoterapia
Aceite esencial de eucalipto globulus Bio,4.95,Naturitas Essentials,LP-0214628,Fitoterapia
Cefasafra - Extracto de azafrán,17.5,Cefak,LP-0146258,Fitoterapia
Aceite esencial de orégano vulgar Bio,17.45,Zentrity by Naturitas,LP-0155950,Fitoterapia
Vitex Agnus Castus Extracto,34.19,Bonusan,LP-0037820,Fitoterapia
Aquilea Vigor Ella,23.94,Aquilea,LP-0034723,Fitoterapia
Aceite esencial de incienso olíbano Bio,19.95,Naturitas Essentials,LP-0214630,Fitoterapia
Aceite esencial de romero Bio,6.4,Naturitas Essentials,LP-0214636,Fitoterapia
21 C Tensivel (Fórmula XXI),9.85,Soria Natural,LP-0011351,Fitoterapia
Extracto de Cola de Caballo (Fórmula XXI),8.73,Soria Natural,LP-0009818,Fitoterapia
Phytobiopole Mix Gases 8 (Vientre Plano),13.47,Intersa,LP-0011373,Fitoterapia
Aceite esencial de geranio bourbon Bio,10.29,Zentrity by Naturitas,LP-0152707,Fitoterapia
29 C Sedaner,13.28,Soria Natural,LP-0011352,Fitoterapia
Hierba Tila Flor Entera,1.81,Plameca,LP-0047463,Fitoterapia
Cistitus,14.47,Cistitus,LP-0004894,Fitoterapia
Aceite esencial de Ylang Ylang extra,9.29,Pranarom,LP-0038029,Fitoterapia
Pack Enrelax forte,24.45,Aquilea,LP-0193583,Fitoterapia
Aceite esencial de menta piperita Bio,6.55,Naturitas Essentials,LP-0214635,Fitoterapia
Aceite Esencial de Lavanda,8.01,Soria Natural,LP-0001664,Fitoterapia
Cardo Mariano Plus,8.68,Integralia,LP-0007797,Fitoterapia
Calceo Force 3,16.74,Orthonat,LP-0010570,Fitoterapia
Mirticir (circulación),16.9,Robis,LP-0010501,Fitoterapia
Pino marítimo (trementina) aceite esencial Bio,9.95,Terpenic,LP-0182571,Fitoterapia
Optim Curcuma (Función articular y digestiva),28.49,Optim Laboratoire,LP-0014326,Fitoterapia
Pasiflora,5.65,Naturmil,LP-0036263,Fitoterapia
Jengibre,4.43,Sotya,LP-0023867,Fitoterapia
Levadura de cerveza (cabello y uñas),6.69,El Granero Integral,LP-0024412,Fitoterapia
Guaraná,3.47,Sotya,LP-0019020,Fitoterapia
Aceite de orégano Ecológico,21.9,Zenement,LP-0168640,Fitoterapia
Crocus Sativus extracto azafrán,34.19,Bonusan,LP-0038134,Fitoterapia
Maca Bio,12.91,El Granero Integral,LP-0038362,Fitoterapia
Hierba Luisa,1.51,Nova Diet,LP-0040193,Fitoterapia
Aceite Esencial De Romero Qt Cineol,6.71,Pranarom,LP-0044181,Fitoterapia
Aceite esencial de eucalipto globulus Bio,13.37,Naturitas Essentials,LP-0214640,Fitoterapia
Drenovance drenante,18.96,Inovance,LP-0031446,Fitoterapia
Manzanilla Bolsa,2.96,Josenea,LP-0024919,Fitoterapia
Hierba Pulmonaria Triturada,1.1,Plameca,LP-0043796,Fitoterapia
Aceite de orégano 150 mg con carvacrol,14.52,Nutrinat Evolution,LP-0203813,Fitoterapia
Boldo Bio,2.85,Herbes del Molí,LP-0052556,Fitoterapia
Arándano rojo con vitamina C,21.95,Solgar,LP-0004799,Fitoterapia
11 S Cardo Mariano (Fórmula XXI),9.45,Soria Natural,LP-0007824,Fitoterapia
Modulase,24,Named,LP-0074970,Fitoterapia
Aceite esencial de Lemongrass,4.75,Pranarom,LP-0038010,Fitoterapia
Pack Cistitus,53.15,Cistitus,LP-0123205,Fitoterapia
Ergyprotect plus equilibrio digestivo,17.02,Nutergia,LP-0032695,Fitoterapia
Aceite Esencial Bio de Árbol del Té,9.35,Labiatae,LP-0004964,Fitoterapia
Go up Ginkgo max,19.16,ESI,LP-0018650,Fitoterapia
Hierba desmodium adscendes,6.9,Soria Natural,LP-0037430,Fitoterapia
Safron azafrán (affron),25.71,Solaray,LP-0210457,Fitoterapia
Aceite esencial de pino marítimo Bio,3.75,Zentrity by Naturitas,LP-0152715,Fitoterapia
Immun Age Maxi,95.99,Immun'Age,LP-0037547,Fitoterapia
Aceite Esencial de Mandarina,5.11,MARNYS®,LP-0038568,Fitoterapia
N-3 Relax-robis con valeriana,6.06,Robis,LP-0010497,Fitoterapia
Ginkgo biloba 6000mg,45.36,Lamberts,LP-0018701,Fitoterapia
Phytobiopole Mix Para-St 9 (Higiene Intestinal),13.88,Intersa,LP-0001697,Fitoterapia
Red Yeast Rice,21.75,Solaray,LP-0024378,Fitoterapia
Pack Para-Sit,68,Sura Vitasan,LP-0170938,Fitoterapia
Resolutivo Regium,15.13,Plameca,LP-0011611,Fitoterapia
Extracto de Grosellero Negro (Fórmula XXI),10.26,Soria Natural,LP-0039197,Fitoterapia
Ashwagandha KSM66,13.61,Dietmed,LP-0200791,Fitoterapia
Cistitus nox forte con probióticos,21.29,Cistitus,LP-0196115,Fitoterapia
Aprolis Herbaprolis C,14.68,Intersa,LP-0031698,Fitoterapia
ES3 (Azafrán y Ashwagandha),12.08,Plantis,LP-0033948,Fitoterapia
Jarabe de los fumadores,14.34,Herbalgem,LP-0011285,Fitoterapia
Perlas Ravintsara Bio,11.51,Pranarom,LP-0124287,Fitoterapia
Extracto de Gingko Biloba,3.74,Sotya,LP-0018655,Fitoterapia
Lipsan,19.51,Equisalud,LP-0030402,Fitoterapia
Liposomal Curosome Curcumina,39.95,Curesupport,LP-0014371,Fitoterapia
Zumo de granada alta potencia,14.42,Optima,LP-0049759,Fitoterapia
Valeriana,2.4,Plantis,LP-0048902,Fitoterapia
Ashwagandha tintura,18.07,Egle,LP-0188736,Fitoterapia
Aceite esencial de nag champa,1.79,Goloka,LP-0198725,Fitoterapia
Extracto de Hipérico (Fórmula XXI),8.96,Soria Natural,LP-0022947,Fitoterapia
Essential Oils Parasi perlas (parásitos),11.01,Equisalud,LP-0204267,Fitoterapia
Hierba Malva Flor Real,2.1,Plameca,LP-0038622,Fitoterapia
Ergycranberryl tracto urinario,21.24,Nutergia,LP-0010586,Fitoterapia
Valeriana,7.64,El Granero Integral,LP-0048858,Fitoterapia
Mast Lax,6.35,Santiveri,LP-0011628,Fitoterapia
Composor 13 Oxiur Complex,10.71,Soria Natural,LP-0097340,Fitoterapia
Alfalfa,1.8,Sotya,LP-0003120,Fitoterapia
Valeriana,3.96,Sotya,LP-0048839,Fitoterapia
Sedivitax advanced cápsulas,12,Aboca,LP-0038407,Fitoterapia
Pomalic,8.39,El Granero Integral,LP-0028598,Fitoterapia
Centella Asiática,7.39,Naturmil,LP-0008164,Fitoterapia
Septilin para el sistema inmunológico,7.15,Himalaya Herbals,LP-0148747,Fitoterapia
Cúrcuma Liposomada,38.6,Fepa,LP-0014364,Fitoterapia
Pack Composor Sistema Inmunitario,20,Soria Natural,LP-0165766,Fitoterapia
Aceite esencial de incienso,7.97,Physalis,LP-0080395,Fitoterapia
Multi Messenger,66,Nutrined,LP-0119176,Fitoterapia
Hypericón,2.85,Sotya,LP-0022877,Fitoterapia
